Transcript.ID score S1 S2 S3 S4 S5 S6 S7 S8 maxn n peak
TRINITY_DN8_c0_g1_i14 0.5740667703232568 3.8303953295679567 3.3937546390996984 0.905920099689812 0.9180652495416087 0.5172204852832261 0.5157921952296873 2.528146288015767 2.6415496187713527 3.8303953295679567 8 S1
TRINITY_DN8_c0_g1_i10 0.3697473500151554 0.5012407730477237 NaN 0.6665695865810357 0.8135871244902475 0.370485963981825 NaN NaN NaN 0.8135871244902475 4 S4
TRINITY_DN18_c1_g1_i1 0.1521352700349509 6.573460383130862 6.115113999467938 5.640501892528231 5.4570802519631805 5.2938088268729455 4.6090586289678654 5.778741055635729 6.119531833318487 6.573460383130862 8 S1
TRINITY_DN30_c0_g1_i1 0.43539788321273193 0.8260063368108318 0.7180791789507138 0.38078885168520493 0.3133111253477905 0.33313527354739136 0.3826829030953072 0.4502758300197591 0.6862813210554822 0.8260063368108318 8 S1
TRINITY_DN30_c0_g1_i2 0.6272137798315202 3.463071596857086 2.4945410195942355 1.187388573674661 0.5274412631945525 0.4553374519235523 0.7810653337850649 1.497386347960844 2.0937376052233154 3.463071596857086 8 S1
TRINITY_DN30_c0_g2_i1 0.35215412968747273 1.5957270335558646 1.0405169358797457 1.1716486124126866 1.2167778450822877 0.5952762620432601 0.9838941628972742 1.4381828657165245 1.773354718661288 1.773354718661288 8 S8
TRINITY_DN30_c0_g2_i3 0.4052555636910888 2.093030958467437 1.9324144191857793 1.4334117509026596 1.3162159094401567 1.2967208390233331 1.4953139110114784 2.268220349087951 2.8428364507933925 2.8428364507933925 8 S8
TRINITY_DN30_c0_g2_i2 0.3440085748901976 1.0413695524320348 0.9839036854076815 1.0326905725416662 1.0419132066785641 0.7321518173541257 1.105359802843577 1.4652771213195992 1.6120998527072778 1.6120998527072778 8 S8
TRINITY_DN30_c0_g2_i5 0.2657841133336943 0.5277059814716019 0.9154261782459926 NaN NaN 0.5286025011113118 0.9080301710900001 0.7965437825254446 0.5997197794937872 0.9154261782459926 6 S2
TRINITY_DN30_c0_g2_i6 0.4968332004209794 2.4713503296641934 1.5952899182586442 1.5522205253314987 1.6861990882621916 1.6123427142040965 1.6678824601105384 3.0171818953686267 3.86195902278484 3.86195902278484 8 S8
TRINITY_DN66_c0_g3_i1 0.28327957303345813 2.541778387867937 2.5131738996333097 4.3275056317479415 5.866272795672005 5.986954961228102 6.311868044528908 6.343784918994678 6.755241825825026 6.755241825825026 8 S8
TRINITY_DN52_c0_g2_i2 0.19813717802796119 1.3816022944396942 1.1431615203456353 1.5447989610015327 1.301757272354714 1.1285502178205622 1.6452343453428953 1.3799782900375777 1.6969562517149337 1.6969562517149337 8 S8
TRINITY_DN67_c0_g1_i4 0.21184487450106146 0.3408571685947823 0.3506942961599222 0.40448801972224047 0.4533651715091529 0.374777118025011 0.39949860196323916 0.48332411123456387 0.3428602528528364 0.48332411123456387 8 S7
TRINITY_DN67_c0_g1_i3 0.26823037036358366 0.4424069586126406 0.3219430325546086 0.5483373181209341 0.49220910628605746 0.3782123303745773 0.37506930998974547 0.4666829567988697 0.3322724787637732 0.5483373181209341 8 S3
TRINITY_DN51_c0_g1_i4 0.6231429652915426 0.6745497261217723 1.0414056474929738 0.35695329605750725 0.3133111253477905 NaN 0.22503002944430284 NaN NaN 1.0414056474929738 5 S2
TRINITY_DN29_c0_g2_i8 0.1689826645396287 0.5456760784281856 0.3408558256348959 0.4804883162639859 0.49508452879268594 0.38194067391776043 NaN 0.5339143480552844 0.4885139916545196 0.5456760784281856 7 S1
TRINITY_DN29_c0_g2_i4 0.21973710726359075 1.3027678119097588 NaN NaN 0.5744593383956982 1.019781074984817 1.2103951682121536 1.1901984935068106 1.087672832323474 1.3027678119097588 6 S1
TRINITY_DN11_c0_g2_i3 0.26715500473178844 1.4281000946316507 1.443639273485644 2.435248368547708 2.5006478186738543 2.191872935160844 2.2832475979594125 2.9102239971091106 2.9616436497808096 2.9616436497808096 8 S8
TRINITY_DN6_c0_g1_i4 0.258345716686614 0.8128066109194458 0.8369402792494682 1.175584956128165 1.2359198488928096 0.8242846528671675 0.7459749485493341 1.134006299701273 0.8867790009288417 1.2359198488928096 8 S4
TRINITY_DN6_c0_g1_i1 0.3201074085912396 0.7946642511113012 0.9526144277322478 1.5839989219042732 1.0086984150372909 1.2471897776845362 1.3720479068587805 1.6657793363897386 0.9686435078038622 1.6657793363897386 8 S7
TRINITY_DN6_c0_g1_i2 0.236468195837936 0.7521395267322273 0.7003301617223322 1.1185766866009175 0.8480633793674714 1.1866034163483425 1.0414552501318894 1.2966710055985862 1.2831784452621038 1.2966710055985862 8 S7
