ScilifeID,SubmittedID,Stages,Description,SampleID
P7614_311_S11_L002,#PabK14-03LSM_SR2,S4,LSM-Late stage maturing embryos (before JUDY),P7614_311_S11
P7614_312_S12_L001,#PabK14-03LSM_TR3,S4,LSM-Late stage maturing embryos (before JUDY),P7614_312_S12
P7614_312_S12_L002,#PabK14-03LSM_SR3,S4,LSM-Late stage maturing embryos (before JUDY),P7614_312_S12
P7614_313_S13_L001,#PabK14-03SD_TR1,S5,"SD -Start dessication (after JUDY, at transfer to dessication))",P7614_313_S13
P7614_313_S13_L002,#PabK14-03SD_SR1,S5,"SD -Start dessication (after JUDY, at transfer to dessication))",P7614_313_S13
P7614_314_S14_L001,#PabK14-03SD_TR2,S5,"SD -Start dessication (after JUDY, at transfer to dessication))",P7614_314_S14
P7614_314_S14_L002,#PabK14-03SD_SR2,S5,"SD -Start dessication (after JUDY, at transfer to dessication))",P7614_314_S14
P7614_315_S15_L001,#PabK14-03SD_TR3,S5,"SD -Start dessication (after JUDY, at transfer to dessication))",P7614_315_S15
P7614_315_S15_L002,#PabK14-03SD_SR3,S5,"SD -Start dessication (after JUDY, at transfer to dessication))",P7614_315_S15
P7614_316_S16_L001,#PabK14-03ED_TR1,S6,ED (End of dessication),P7614_316_S16
P7614_316_S16_L002,#PabK14-03ED_SR1,S6,ED (End of dessication),P7614_316_S16
P7614_317_S17_L001,#PabK14-03ED_TR2,S6,ED (End of dessication),P7614_317_S17
P7614_317_S17_L002,#PabK14-03ED_SR2,S6,ED (End of dessication),P7614_317_S17
P7614_318_S18_L001,#PabK14-03ED_TR3,S6,ED (End of dessication),P7614_318_S18
P7614_318_S18_L002,#PabK14-03ED_SR3,S6,ED (End of dessication),P7614_318_S18
P7614_319_S19_L001,#PabK14-03RO_TR1,S7,RO (at root emergence),P7614_319_S19
P7614_319_S19_L002,#PabK14-03RO_SR1,S7,RO (at root emergence),P7614_319_S19
P7614_320_S20_L001,#PabK14-03RO_TR2,S7,RO (at root emergence),P7614_320_S20
P7614_320_S20_L002,#PabK14-03RO_SR2,S7,RO (at root emergence),P7614_320_S20
P7614_321_S21_L001,#PabK14-03RO_TR3,S7,RO (at root emergence),P7614_321_S21
P7614_321_S21_L002,#PabK14-03RO_SR3,S7,RO (at root emergence),P7614_321_S21
P7614_322_S22_L001,#PabK14-03PLS_TR1,S8,PLS (at planting stage),P7614_322_S22
P7614_322_S22_L002,#PabK14-03PLS_SR1,S8,PLS (at planting stage),P7614_322_S22
P7614_323_S23_L001,#PabK14-03PLS_TR2,S8,PLS (at planting stage),P7614_323_S23
P7614_323_S23_L002,#PabK14-03PLS_SR2,S8,PLS (at planting stage),P7614_323_S23
P7614_324_S24_L001,#PabK14-03PLS_TR3,S8,PLS (at planting stage),P7614_324_S24
P7614_324_S24_L002,#PabK14-03PLS_SR3,S8,PLS (at planting stage),P7614_324_S24
