Transcript.ID score S1 S2 S3 S4 S5 S6 S7 S8 maxn n peak
TRINITY_DN8_c0_g1_i14 0.5842971332776239 3.3844874045425386 3.1248682988053886 0.8607339173248141 1.1375236687891792 0.5976312387655673 0.5187154692048745 2.354093028268452 2.3238628386547533 3.3844874045425386 9 S1
TRINITY_DN30_c0_g1_i1 0.782938916102064 0.7998875734485081 0.7129624953070196 0.40998411754237063 0.514770159377858 NaN 0.3990314323496933 0.5753798938894349 0.49198841913890057 2.569391344294508 8 S0
TRINITY_DN30_c0_g1_i2 0.5681391563399549 3.386430690893564 2.530999221214719 1.1022052980106518 0.9212045479721828 0.42594133475591917 0.7515426163554981 1.5111351837572102 2.087334729293666 3.680813452105853 9 S0
TRINITY_DN30_c0_g2_i1 0.41020741241171965 1.6277207743822124 1.2308895009165646 1.462842895233782 1.2862100378214993 0.8550516155105434 1.21829097973805 1.9872500404230449 2.3418052979220425 2.3418052979220425 8 S8
TRINITY_DN30_c0_g2_i5 0.37826291978060755 0.6914477946501917 1.054082269825992 1.0390041590171064 NaN NaN 1.1557487132075737 1.452960081683303 NaN 1.7348950834590893 6 S0
TRINITY_DN67_c0_g1_i4 0.17737197759597528 0.3213884341701509 0.3090477875916031 0.45152234271550196 0.46299275787545335 0.3435623464560713 0.43282712193043993 0.41674069162996963 0.3598688123588447 0.46299275787545335 9 S4
TRINITY_DN67_c0_g1_i3 0.4618679427257303 0.43907475676175867 0.42777809844461157 0.6107000804858255 0.5282643415015686 0.3893927387562407 0.4283516263561394 0.5089387182954671 0.3908444140283101 0.8648771069059924 9 S9
TRINITY_DN51_c0_g1_i4 0.5719723358698694 0.7130997736713536 1.0928162703476423 0.42495200201931826 0.4779364465792657 NaN 0.25503415981127286 NaN NaN 1.0928162703476423 5 S2
TRINITY_DN29_c0_g2_i8 0.17605016309430094 0.4835585747824358 0.4225754686215648 0.5488093903691204 0.5658497815530531 0.5302131797464966 0.3266784343742648 0.5256908885315129 0.3544296019402964 0.5658497815530531 9 S4
TRINITY_DN6_c0_g1_i4 0.35396317789024717 0.7440300867203415 1.0326389817156136 1.2738659991979997 0.9651082523123966 1.1794487686419688 1.4035851224995197 1.6368550274441864 1.1033698836344996 1.6368550274441864 9 S7
TRINITY_DN6_c0_g1_i1 0.28346670371962224 1.0106791545975962 1.01786232010194 1.7723090629374207 1.264529316786614 1.3048611215275985 1.283993250756693 1.798710098134417 1.3503754694538908 1.798710098134417 9 S7
TRINITY_DN6_c0_g1_i3 1 NaN NaN NaN NaN NaN NaN 0.5146665326788291 NaN 0.5146665326788291 1 S7
TRINITY_DN6_c0_g1_i12 0.2461537626595689 1.3564261018287305 1.328812706939039 2.099379793186552 1.9013371470701972 1.3298323665180547 1.793102721592289 1.5006440575463187 2.141109839704655 2.141109839704655 9 S8
TRINITY_DN19_c0_g2_i3 0.5801093618949736 0.9189263764776736 1.3811558867815534 0.869123215654165 0.9254514783856387 0.5880793676452916 0.5716797680506002 0.8481956996480022 0.9287495046064743 2.093212094755807 9 S0
TRINITY_DN19_c0_g2_i2 0.3416781820223902 2.550421772258027 2.269956614716631 2.128772695612136 1.7850567081887796 1.7857280204416792 1.138039882538374 NaN NaN 2.550421772258027 7 S1
TRINITY_DN19_c0_g2_i4 0.3155124954306275 1.0263841724491711 1.086922810783815 0.6842341629172856 0.6982348441968396 0.8632037499089714 0.7581260775186088 0.6111561292905661 NaN 1.086922810783815 8 S2
TRINITY_DN27_c0_g1_i8 0.2720639582674752 0.36003627795522153 0.3468451969453561 0.5313364199925029 NaN 0.44666777627659915 0.4115992361532794 0.36874616465790844 NaN 0.5313364199925029 6 S3
TRINITY_DN27_c0_g1_i14 0.38364658701743964 NaN NaN NaN 0.37179196977781004 0.3560388394752385 NaN NaN 0.590433016125476 0.590433016125476 3 S8
TRINITY_DN35_c0_g1_i4 0.24383475207966687 1.4547485369752162 1.299004739605881 1.8837449265797062 1.578556191335723 1.6088905121713253 1.785850547344363 2.045069413416419 1.9860036441340636 2.045069413416419 9 S7
TRINITY_DN35_c0_g1_i5 0.11241098426929375 NaN NaN NaN 1.7859868077474035 1.6612211216364958 NaN NaN 1.941894203448423 1.941894203448423 3 S8
TRINITY_DN35_c0_g1_i6 0.18738515177176698 0.7361398813161406 0.7954539833531541 0.5269308928662584 0.7231233631923919 0.7676634473091717 NaN 0.7021387264508222 0.7988160946958663 0.7988160946958663 8 S8
TRINITY_DN35_c0_g1_i3 0.3370814796614789 0.3496278925051097 0.3468451969453561 0.4159593918527884 0.36274237653942915 NaN 0.6605289269020282 0.4578469003325707 0.6606500951265319 0.6606500951265319 8 S8
TRINITY_DN57_c0_g2_i1 0.24570229118673956 1.4105604175370217 1.689753511508659 1.7592007392236881 2.083365214052733 1.6229829687354476 2.2462591056077907 1.7084277875881824 1.5861460386804298 2.2462591056077907 8 S6
TRINITY_DN57_c0_g2_i2 0.4613684695750358 0.740792539037467 NaN 1.3141997658334317 2.151014956430319 1.034983652054191 1.0840631835830075 0.8534188775319763 1.6312322152046095 2.151014956430319 8 S4
TRINITY_DN97_c0_g1_i1 0.6792220717633787 NaN 0.9842863652709957 NaN 0.6156892389818838 NaN 0.7393363737262204 2.329157327633717 3.946717995389905 3.946717995389905 6 S8
TRINITY_DN97_c0_g1_i2 0.6600329933292822 0.8485539018114325 0.7099909080031361 0.9073125245411244 1.137819312482167 1.0800186840877875 0.9951627125788702 2.301409023259538 3.2470473609594968 3.2470473609594968 9 S8
