ID	type
MA_10077277g0010	gene
MA_10077422g0010	gene
MA_10077447g0010	gene
MA_100776g0010	gene
MA_10077950g0010	gene
MA_10078828g0010	gene
MA_10078865g0010	gene
MA_10078g0010	gene
MA_10078g0020	gene
MA_100802g0020	gene
MA_10080571g0010	gene
MA_10081171g0010	gene
MA_10081221g0010	gene
MA_10081260g0010	gene
MA_10081922g0010	gene
MA_100820g0010	gene
MA_10083247g0010	gene
MA_10083329g0010	gene
MA_10083496g0010	gene
MA_10083524g0010	gene
MA_10083964g0010	gene
MA_10084120g0010	gene
MA_10084477g0010	gene
MA_10085137g0010	gene
MA_10085280g0010	gene
MA_10085364g0010	gene
MA_100853g0010	gene
MA_100863g0010	gene
MA_10086651g0010	gene
MA_10086718g0010	gene
MA_100868g0010	gene
MA_10086937g0010	gene
MA_10087005g0010	gene
MA_100871g0010	gene
MA_1008737g0010	gene
MA_100875g0010	gene
MA_10087857g0010	gene
MA_10088495g0010	gene
MA_10088906g0010	gene
MA_10089336g0010	gene
MA_10089894g0010	gene
MA_10090427g0010	gene
MA_100906g0010	gene
MA_10090939g0010	gene
MA_10090g0010	gene
MA_100910g0020	gene
MA_10091665g0010	gene
MA_10091679g0010	gene
MA_10092308g0010	gene
MA_10092337g0010	gene
MA_10092684g0010	gene
MA_100928g0010	gene
MA_10092g0010	gene
MA_10093130g0010	gene
MA_100933g0010	gene
MA_10094952g0010	gene
MA_100950g0010	gene
MA_10095402g0010	gene
MA_10095644g0010	gene
MA_10095919g0010	gene
MA_10096236g0010	gene
MA_10096503g0010	gene
MA_10096526g0010	gene
MA_10096934g0010	gene
MA_10096981g0010	gene
MA_10096g0010	gene
MA_10096g0020	gene
MA_10097183g0010	gene
MA_10097402g0010	gene
MA_10097541g0010	gene
MA_100975g0010	gene
MA_100977g0010	gene
MA_10097865g0010	gene
MA_10098001g0010	gene
MA_10098110g0010	gene
MA_10098272g0010	gene
MA_10098376g0010	gene
MA_100985g0010	gene
MA_10098847g0010	gene
MA_10098872g0010	gene
MA_100988g0020	gene
MA_10099225g0010	gene
MA_10099341g0010	gene
MA_10099345g0010	gene
