MA_10250077g0010
MA_10434352g0010
MA_105017g0010
MA_304675g0010
MA_45153g0010
MA_10242579g0010
MA_10436508g0010
MA_10436832g0010
MA_1119638g0010
MA_1150360g0010
MA_13740g0010
MA_141906g0010
MA_257780g0020
MA_27422g0020
MA_341783g0010
MA_396691g0010
MA_433817g0010
MA_468697g0010
MA_48965g0010
MA_59424g0010
MA_5978g0010
MA_70332g0010
MA_772986g0010
MA_8894812g0010
MA_898819g0010
MA_898994g0010
