MA_10300g0030
MA_10426218g0010
MA_10426686g0010
MA_10427561g0020
MA_10427792g0010
MA_10427886g0020
MA_10429333g0010
MA_10430133g0010
MA_10430252g0010
MA_10430611g0010
MA_10430768g0010
MA_10430919g0010
MA_10431401g0010
MA_10432837g0010
MA_10432984g0010
MA_10433767g0010
MA_10434125g0010
MA_10434355g0010
MA_10434357g0020
MA_10435092g0020
MA_10436028g0010
MA_10436516g0010
MA_10436594g0010
MA_10436694g0010
MA_10436776g0030
MA_10436799g0020
MA_10437151g0010
MA_107580g0020
MA_108992g0010
MA_113702g0010
MA_118973g0010
MA_119005g0010
MA_120504g0010
MA_122198g0010
MA_124616g0010
MA_125167g0010
MA_1274g0010
MA_174378g0010
MA_17927g0010
MA_18041g0010
MA_187114g0010
MA_189802g0010
MA_20585g0010
MA_210823g0010
MA_2226g0020
MA_2332g0020
MA_238448g0010
MA_26597g0010
MA_273488g0010
MA_27973g0010
MA_36042g0010
MA_36579g0010
MA_405307g0010
MA_40826g0010
MA_4249g0010
MA_425144g0010
MA_4294210g0010
MA_434510g0010
MA_45410g0010
MA_460406g0010
MA_494946g0010
MA_57173g0020
MA_57173g0030
MA_57501g0010
MA_5937864g0010
MA_60139g0010
MA_618219g0010
MA_6306g0010
MA_63465g0020
MA_64700g0010
MA_74539g0010
MA_76618g0010
MA_7823219g0010
MA_79374g0010
MA_799401g0010
MA_81029g0010
MA_8167263g0010
MA_83406g0010
MA_84119g0010
MA_8664817g0010
MA_904294g0010
MA_9142043g0010
MA_91773g0010
MA_9349g0010
MA_954050g0010
MA_9756g0020
MA_10137384g0010
MA_10153396g0010
MA_10171923g0010
MA_10212474g0010
MA_10236470g0010
MA_10236907g0010
