MA_103030g0010
MA_10426451g0010
MA_10427200g0010
MA_10428694g0010
MA_10431401g0010
MA_10433285g0010
MA_10434357g0020
MA_10434515g0010
MA_10436516g0020
MA_112209g0020
MA_117808g0010
MA_124506g0010
MA_141866g0010
MA_17313g0010
MA_2005g0010
MA_23963g0010
MA_4294210g0010
MA_442802g0010
MA_452297g0010
MA_500183g0010
MA_7447685g0010
MA_747193g0010
MA_7632643g0010
MA_7657529g0010
MA_789108g0010
MA_799401g0010
MA_8595976g0010
MA_88g0020
MA_9305610g0010
MA_937735g0010
MA_9528277g0010
MA_955617g0010
MA_10031781g0010
MA_10151561g0010
MA_10426382g0010
MA_10426755g0010
MA_10427181g0010
MA_10428505g0010
MA_10428701g0010
MA_10432866g0010
MA_10433915g0010
MA_10435887g0010
MA_10436516g0010
MA_138223g0010
MA_139427g0010
MA_13974g0010
MA_187114g0010
MA_19731g0010
MA_22296g0010
MA_323636g0010
MA_450176g0010
MA_4541173g0010
MA_460406g0010
MA_50165g0010
MA_50214g0010
MA_508161g0010
MA_71046g0010
MA_7584530g0010
MA_766299g0010
MA_8513206g0010
MA_853890g0010
MA_882934g0010
MA_8833025g0010
MA_935498g0010
MA_9815325g0020
MA_9831213g0010
MA_9868443g0010
