MA_103912g0010
MA_10425833g0010
MA_10428317g0010
MA_10429630g0030
MA_10432419g0010
MA_10432496g0010
MA_10434669g0010
MA_10434764g0010
MA_10435248g0010
MA_116686g0010
MA_127251g0010
MA_158233g0010
MA_177791g0010
MA_180530g0010
MA_19639g0020
MA_206599g0010
MA_21789g0010
MA_23219g0010
MA_25325g0010
MA_261860g0010
MA_2650592g0010
MA_365544g0010
MA_4674g0010
MA_493817g0010
MA_65498g0010
MA_71981g0010
MA_728885g0010
MA_879477g0010
MA_8895597g0010
MA_93025g0010
MA_9478104g0010
MA_9851g0010
MA_10166253g0010
MA_10223525g0010
MA_10427326g0010
MA_10427685g0010
MA_10430064g0020
MA_1125923g0010
MA_49950g0010
